date,BTC_price,ETH_price,SOL_price,USDT_price,XTZ_price,DOT_price,XRP_price,DOGE_price,LTC_price,ALGO_price,XMR_price,TRX_price,RENDER_price,SUI_price,ADA_price,HBAR_price,LINK_price,BNB_price,VET_price,PEPE_price,USDC_price,ARB_price,UNI_price,IMX_price,XLM_price,FLR_price,FLOKI_price,ETC_price,GALA_price,INJ_price,ONDO_price,WLD_price,HYPE_price,AVAX_price,MOVE_price,PENGU_price,AAVE_price,TAO_price,ENA_price,TON_price,FARTCOIN_price
01/12/2024,96513.14234698225,3709.9094391073327,238.16347667858562,1.0006304300119748,1.6884726140548787,8.987536871473994,1.9394127481300492,0.4219026659956098,102.82295228488405,0.43977049566024456,163.03633481603205,0.20528119313871235,8.87628490201515,3.4903215998391652,1.079440192925627,0.169046962569314,19.066451952393777,655.0341088639733,0.046016828976327015,2.027127219228258e-05,1.0001518991853688,0.9765880687011722,12.800356818914915,1.979094032791599,0.5266956093499116,0.02820274783374417,0.00023133836864446992,32.718680558091975,0.04489285589911818,31.270871436093536,1.2301388172572842,0.0054731799391730665,,,,0.013392683919711169,211.5766022444505,676.925561348525,,,0.2665709167454345
02/12/2024,97311.70719084324,3708.8072387383017,237.54718827599987,1.000786655253857,1.6712190320146905,9.284443289341272,2.286339588570724,0.44108781303646266,119.58467555234745,0.4887431705154254,162.85681318252463,0.20712566303997176,8.727857562158118,3.4744090975703332,1.147892256369758,0.20968353566589776,18.905071536864135,655.7348886381908,0.0461619448700114,2.2345819121230338e-05,0.9996548834724811,0.9684361654512881,13.053240535185745,2.0229842182748956,0.5592038262557358,0.031138939908060954,0.00023751309319923955,33.18493734020842,0.04404867721801854,30.013247319636786,1.2735671934797617,0.006960631812132576,,,,0.013425292439889307,209.23262176154478,638.4274879891184,,,0.21552304145273163
03/12/2024,95833.1362300365,3643.855375704235,225.5283610124218,1.0007129707913198,1.6416892038935185,10.025357893237784,2.7088474745217135,0.42405045756614346,134.20913087977684,0.5029654360739825,173.74434356414892,0.22003292779616782,8.679451487001247,3.3920184479581406,1.1995479309146082,0.3101639358431129,24.990546025953066,647.1199397363577,0.05669059657022495,2.043609408432045e-05,1.0005985502531116,1.026374092908501,13.942828276080578,2.0486731905523516,0.5379391978519629,0.0338849362054556,0.00022675821157110834,33.78910092586565,0.04660895339520026,31.71127037941441,1.4678187335875832,0.007781115252592717,,,,0.015424555234457925,236.0930011665355,606.8394637121178,,,0.19022526393355382
04/12/2024,96031.63097759831,3625.7104579497204,234.99258635351788,1.0009277428152683,1.7168049020568963,9.864460391117042,2.5319240970814882,0.40914646603543636,132.1686022445804,0.5108853865524452,200.94480799663856,0.4155898414393119,8.974892764766139,3.7102317955115223,1.201004029612371,0.3186500122198401,24.278700273622007,740.0349367441655,0.07776334901890973,2.0417907511969304e-05,0.9999198840712941,1.0489938755931805,15.141702204534498,2.1090280467031657,0.5107689217342211,0.03492869029037375,0.0002257580212642637,34.8872613591063,0.05171112113191802,33.46352628237121,1.6486187500751817,0.007658743440055273,,,,0.015164868906578801,241.886714069212,622.1087322065707,,,0.18642021610896486
05/12/2024,98881.4694561823,3839.443460715871,229.06669921453178,1.0010261344456166,1.714842633858679,10.538502333245544,2.3476333135494314,0.4294319629835894,133.69742144078307,0.4774861475773011,196.37219090074106,0.3287351491595864,8.656861414552205,3.6721064086966657,1.1842450413974923,0.2865299104615163,24.053350368316433,736.4426842404933,0.06809644621850426,2.1638783758993888e-05,0.9997734086990082,1.1339252094996024,15.634410852801153,2.083212236081327,0.4887477517928996,0.03206513358177403,0.00023347916476217215,37.59035391776627,0.06007152535020688,31.857398443083515,1.73788881877226,0.009340611554894868,,,,0.015259065187473811,255.96660995569954,652.6710311703391,,,0.16836466967610644
06/12/2024,97201.50036407741,3796.8688671601276,237.3008587229224,1.0018474496354124,1.6499302173105022,10.452748409995786,2.254523485462072,0.42913177925717433,136.50322434223267,0.45125320401379765,193.4818222261118,0.3227604152470211,10.082375995106254,4.220303251080122,1.166279100460039,0.2891730153080827,23.26535260161701,719.7623500626481,0.06515976820646764,2.138243491609198e-05,1.0010341200658002,1.1055618245940635,15.120975399096807,2.0799716957220307,0.4715563322190663,0.032547964727235555,0.00023237608262521514,35.730517739607784,0.060367453299210706,32.354298989140666,1.6829775670711604,0.00862989121803543,,,,0.014619585661626064,248.58940428672693,682.1821040655778,,,0.20187720026451136
07/12/2024,99973.85150659826,4013.726145388712,237.00646868253727,1.0017631240764722,1.768263487802505,10.733623844767518,2.4172260514832065,0.43569429743752,136.1082131017185,0.5025001470593116,198.03252506372453,0.32519867874408537,10.486416129849829,4.220492383206244,1.2330018039218942,0.36939201432130864,25.816077858137163,732.5424290130477,0.06735843708898138,2.1679161493282092e-05,0.999972499988638,1.1764745461721824,17.621918278659276,2.1314681647422145,0.4950233495671258,0.03303196658705839,0.0002365739756216395,38.5219412474383,0.05957239368165697,34.121041991644354,1.7703150558740643,0.009523492541460147,,,,0.015306186655641126,281.7551670990727,705.3949346449521,,,0.22247855322865104
08/12/2024,99781.82999198174,4000.992076502189,238.89329739813545,0.9993287892409196,1.7974843358554087,10.642554299176084,2.5927269695998327,0.4542043314711241,133.6891071572901,0.5127886219280953,200.75943051416482,0.3195955715868737,10.29633390302727,4.260439774963818,1.2144434934843331,0.33068405616245106,24.802040868628023,750.2454938747231,0.06672863946256549,2.5125873666229925e-05,0.9986283938422416,1.166247596696545,18.186973054212913,2.0773408492798446,0.5022847856723688,0.032053627688228004,0.0002581144280882673,37.32408012754364,0.061368398416005276,33.1152859604344,1.6814829193668317,0.00888437654029893,,,,0.014918928361515512,282.3986182739254,699.9372500947401,,,0.20200477994229143
09/12/2024,101235.3717025316,4015.7820212328807,237.57854563045439,1.002101264244288,1.7630347891087743,10.435105591682834,2.6181421664576834,0.4665030913917874,135.64579385305427,0.49906781105152437,222.8006896701832,0.32001732652706477,10.316609872790144,4.25330841413893,1.197963535910322,0.33128139878168833,26.264342629260376,745.3758374040211,0.06821569686215073,2.642811397345637e-05,1.003412731505965,1.1636436373536927,18.711932225482343,2.0811704383998495,0.49594785051338974,0.03182136183187927,0.00025982806868865365,37.23849756418115,0.06102295669379795,33.37726820015833,1.6935675372536538,0.007249685401828931,,,,0.015550715414495146,284.2814202652108,712.970497346891,,,0.31054756327743566
10/12/2024,97353.94700820887,3713.3138979971745,217.61737842270807,1.0009067063046673,1.441489843571028,8.514674436054847,2.2158470487122726,0.4140315464336743,110.7153849650254,0.4198523503983354,175.69287071997945,0.2619508553422545,8.935093561893776,3.825906764408686,1.0077086490874125,0.2816425257331536,22.313161734273404,688.0073673187646,0.0568877901614383,2.613899843051141e-05,1.0003411047383342,0.9644513992664405,16.07371736707815,1.7383753489946947,0.4125778830599734,0.028706876097455956,0.0002382445024244792,31.435403485131562,0.047999847121897025,28.16353761802584,1.5269190881887877,0.008660436697036818,,,,0.013086973088261409,259.1372751355423,600.611039659501,,,0.3375041265206311
